Year,Publisher,Games,Sales,Json
1994,Banpresto,5,0.62,"{'Publisher':'Banpresto','Games':5,'Sales':0.62},"
1994,BPS,1,0.2,"{'Publisher':'BPS','Games':1,'Sales':0.2},"
1994,Capcom,1,0.16,"{'Publisher':'Capcom','Games':1,'Sales':0.16},"
1994,ChunSoft,1,0.81,"{'Publisher':'ChunSoft','Games':1,'Sales':0.81},"
1994,Core Design Ltd.,1,0.19,"{'Publisher':'Core Design Ltd.','Games':1,'Sales':0.19},"
1994,Culture Brain,1,0.03,"{'Publisher':'Culture Brain','Games':1,'Sales':0.03},"
1994,Electronic Arts,2,0.65,"{'Publisher':'Electronic Arts','Games':2,'Sales':0.65},"
1994,Enix Corporation,2,0.72,"{'Publisher':'Enix Corporation','Games':2,'Sales':0.72},"
1994,From Software,1,0.08,"{'Publisher':'From Software','Games':1,'Sales':0.08},"
1994,Game Arts,1,0.14,"{'Publisher':'Game Arts','Games':1,'Sales':0.14},"
1994,Hasbro Interactive,1,2.39,"{'Publisher':'Hasbro Interactive','Games':1,'Sales':2.39},"
1994,Hect,1,0.27,"{'Publisher':'Hect','Games':1,'Sales':0.27},"
1994,Hudson Soft,5,3.05,"{'Publisher':'Hudson Soft','Games':5,'Sales':3.05},"
1994,Human Entertainment,2,0.73,"{'Publisher':'Human Entertainment','Games':2,'Sales':0.73},"
1994,Infogrames,1,0.78,"{'Publisher':'Infogrames','Games':1,'Sales':0.78},"
1994,JVC,1,0.12,"{'Publisher':'JVC','Games':1,'Sales':0.12},"
1994,Konami Digital Entertainment,7,1.71,"{'Publisher':'Konami Digital Entertainment','Games':7,'Sales':1.71},"
1994,Laguna,1,0.36,"{'Publisher':'Laguna','Games':1,'Sales':0.36},"
1994,LucasArts,1,1.95,"{'Publisher':'LucasArts','Games':1,'Sales':1.95},"
1994,Media Rings,1,0.36,"{'Publisher':'Media Rings','Games':1,'Sales':0.36},"
1994,Micro Cabin,1,0.02,"{'Publisher':'Micro Cabin','Games':1,'Sales':0.02},"
1994,Misawa,1,0.02,"{'Publisher':'Misawa','Games':1,'Sales':0.02},"
1994,Namco Bandai Games,6,1.72,"{'Publisher':'Namco Bandai Games','Games':6,'Sales':1.72},"
1994,Nintendo,8,24.99,"{'Publisher':'Nintendo','Games':8,'Sales':24.99},"
1994,Psygnosis,1,0.06,"{'Publisher':'Psygnosis','Games':1,'Sales':0.06},"
1994,Red Orb,1,2.81,"{'Publisher':'Red Orb','Games':1,'Sales':2.81},"
1994,Sega,26,7.53,"{'Publisher':'Sega','Games':26,'Sales':7.53},"
1994,SNK,4,0.8,"{'Publisher':'SNK','Games':4,'Sales':0.8},"
1994,Sony Computer Entertainment,7,3.43,"{'Publisher':'Sony Computer Entertainment','Games':7,'Sales':3.43},"
1994,Square,1,0.11,"{'Publisher':'Square','Games':1,'Sales':0.11},"
1994,SquareSoft,2,3.74,"{'Publisher':'SquareSoft','Games':2,'Sales':3.74},"
1994,Sunsoft,3,0.12,"{'Publisher':'Sunsoft','Games':3,'Sales':0.12},"
1994,Taito,1,0.46,"{'Publisher':'Taito','Games':1,'Sales':0.46},"
1994,Takara,2,0.96,"{'Publisher':'Takara','Games':2,'Sales':0.96},"
1994,Tecmo Koei,1,0.53,"{'Publisher':'Tecmo Koei','Games':1,'Sales':0.53},"
1994,Time Warner Interactive,1,0.11,"{'Publisher':'Time Warner Interactive','Games':1,'Sales':0.11},"
1994,Vap,1,0.05,"{'Publisher':'Vap','Games':1,'Sales':0.05},"
1994,Virgin Interactive,3,6.81,"{'Publisher':'Virgin Interactive','Games':3,'Sales':6.81},"
1995,Acclaim Entertainment,11,2.46,"{'Publisher':'Acclaim Entertainment','Games':11,'Sales':2.46},"
1995,Activision,1,4.21,"{'Publisher':'Activision','Games':1,'Sales':4.21},"
1995,Angel Studios,1,0.03,"{'Publisher':'Angel Studios','Games':1,'Sales':0.03},"
1995,ASCII Entertainment,2,1.25,"{'Publisher':'ASCII Entertainment','Games':2,'Sales':1.25},"
1995,Asmik Corp,1,0.1,"{'Publisher':'Asmik Corp','Games':1,'Sales':0.1},"
1995,Atlus,5,1.11,"{'Publisher':'Atlus','Games':5,'Sales':1.11},"
1995,Banpresto,5,0.76,"{'Publisher':'Banpresto','Games':5,'Sales':0.76},"
1995,ChunSoft,1,0.4,"{'Publisher':'ChunSoft','Games':1,'Sales':0.4},"
1995,Compile,1,0.47,"{'Publisher':'Compile','Games':1,'Sales':0.47},"
1995,Core Design Ltd.,1,0.1,"{'Publisher':'Core Design Ltd.','Games':1,'Sales':0.1},"
