Year,Publisher,Games,Sales,Json
2006,Take-Two Interactive,33,20.59,"{'Publisher':'Take-Two Interactive','Games':33,'Sales':20.59},"
2006,TDK Core,2,0.22,"{'Publisher':'TDK Core','Games':2,'Sales':0.22},"
2006,Tecmo Koei,26,3.63,"{'Publisher':'Tecmo Koei','Games':26,'Sales':3.63},"
2006,THQ,57,24.94,"{'Publisher':'THQ','Games':57,'Sales':24.94},"
2006,Tomy Corporation,1,0.02,"{'Publisher':'Tomy Corporation','Games':1,'Sales':0.02},"
2006,Ubisoft,61,17.27,"{'Publisher':'Ubisoft','Games':61,'Sales':17.27},"
2006,Unknown,2,0.12,"{'Publisher':'Unknown','Games':2,'Sales':0.12},"
2006,Valcon Games,1,0.03,"{'Publisher':'Valcon Games','Games':1,'Sales':0.03},"
2006,Vivendi Games,19,4.58,"{'Publisher':'Vivendi Games','Games':19,'Sales':4.58},"
2006,Warner Bros. Interactive Entertainment,1,0.29,"{'Publisher':'Warner Bros. Interactive Entertainment','Games':1,'Sales':0.29},"
2006,Xplosiv,4,0.4,"{'Publisher':'Xplosiv','Games':4,'Sales':0.4},"
2006,Yamasa Entertainment,2,0.04,"{'Publisher':'Yamasa Entertainment','Games':2,'Sales':0.04},"
2006,Yeti,1,0.01,"{'Publisher':'Yeti','Games':1,'Sales':0.01},"
2006,Yuke's,1,0.03,"{'Publisher':'Yuke's','Games':1,'Sales':0.03},"
2006,Zenrin,1,0.04,"{'Publisher':'Zenrin','Games':1,'Sales':0.04},"
2006,Zoo Digital Publishing,6,0.37,"{'Publisher':'Zoo Digital Publishing','Games':6,'Sales':0.37},"
2007,10TACLE Studios,2,0.09,"{'Publisher':'10TACLE Studios','Games':2,'Sales':0.09},"
2007,505 Games,28,10.43,"{'Publisher':'505 Games','Games':28,'Sales':10.43},"
2007,Activision,75,63.57,"{'Publisher':'Activision','Games':75,'Sales':63.57},"
2007,Activision Value,4,0.58,"{'Publisher':'Activision Value','Games':4,'Sales':0.58},"
2007,Alchemist,3,0.19,"{'Publisher':'Alchemist','Games':3,'Sales':0.19},"
2007,AQ Interactive,1,0.16,"{'Publisher':'AQ Interactive','Games':1,'Sales':0.16},"
2007,Aqua Plus,1,0.01,"{'Publisher':'Aqua Plus','Games':1,'Sales':0.01},"
2007,Aspyr,1,0.01,"{'Publisher':'Aspyr','Games':1,'Sales':0.01},"
2007,Atari,31,11.37,"{'Publisher':'Atari','Games':31,'Sales':11.37},"
2007,Atlus,2,0.1,"{'Publisher':'Atlus','Games':2,'Sales':0.1},"
2007,Avanquest,3,0.53,"{'Publisher':'Avanquest','Games':3,'Sales':0.53},"
2007,Banpresto,9,1.59,"{'Publisher':'Banpresto','Games':9,'Sales':1.59},"
2007,Benesse,2,0.19,"{'Publisher':'Benesse','Games':2,'Sales':0.19},"
2007,Bethesda Softworks,2,1.03,"{'Publisher':'Bethesda Softworks','Games':2,'Sales':1.03},"
2007,Black Bean Games,2,0.11,"{'Publisher':'Black Bean Games','Games':2,'Sales':0.11},"
2007,Blast! Entertainment Ltd,1,0.17,"{'Publisher':'Blast! Entertainment Ltd','Games':1,'Sales':0.17},"
2007,Brash Entertainment,2,0.21,"{'Publisher':'Brash Entertainment','Games':2,'Sales':0.21},"
2007,Broccoli,3,0.07,"{'Publisher':'Broccoli','Games':3,'Sales':0.07},"
2007,Capcom,17,9.92,"{'Publisher':'Capcom','Games':17,'Sales':9.92},"
2007,Codemasters,12,3.07,"{'Publisher':'Codemasters','Games':12,'Sales':3.07},"
2007,CokeM Interactive,1,0.31,"{'Publisher':'CokeM Interactive','Games':1,'Sales':0.31},"
2007,Conspiracy Entertainment,2,0.07,"{'Publisher':'Conspiracy Entertainment','Games':2,'Sales':0.07},"
2007,Crave Entertainment,4,0.43,"{'Publisher':'Crave Entertainment','Games':4,'Sales':0.43},"
2007,CyberFront,1,0.02,"{'Publisher':'CyberFront','Games':1,'Sales':0.02},"
2007,D3Publisher,22,6.31,"{'Publisher':'D3Publisher','Games':22,'Sales':6.31},"
2007,Data Design Interactive,1,0.09,"{'Publisher':'Data Design Interactive','Games':1,'Sales':0.09},"
2007,Datam Polystar,1,0.01,"{'Publisher':'Datam Polystar','Games':1,'Sales':0.01},"
2007,Deep Silver,1,0.02,"{'Publisher':'Deep Silver','Games':1,'Sales':0.02},"
2007,"Destination Software, Inc",2,0.37,"{'Publisher':'Destination Software, Inc','Games':2,'Sales':0.37},"
2007,Destineer,4,0.28,"{'Publisher':'Destineer','Games':4,'Sales':0.28},"
2007,Detn8 Games,1,0.23,"{'Publisher':'Detn8 Games','Games':1,'Sales':0.23},"
2007,DHM Interactive,2,0.14,"{'Publisher':'DHM Interactive','Games':2,'Sales':0.14},"
2007,Disney Interactive Studios,28,16.84,"{'Publisher':'Disney Interactive Studios','Games':28,'Sales':16.84},"
2007,DSI Games,3,0.05,"{'Publisher':'DSI Games','Games':3,'Sales':0.05},"
2007,DTP Entertainment,1,0.02,"{'Publisher':'DTP Entertainment','Games':1,'Sales':0.02},"
2007,Eidos Interactive,22,6.5,"{'Publisher':'Eidos Interactive','Games':22,'Sales':6.5},"
2007,Electronic Arts,107,71.33,"{'Publisher':'Electronic Arts','Games':107,'Sales':71.33},"
2007,Empire Interactive,4,0.86,"{'Publisher':'Empire Interactive','Games':4,'Sales':0.86},"
2007,Enterbrain,1,0.01,"{'Publisher':'Enterbrain','Games':1,'Sales':0.01},"
2007,Ertain,1,0.05,"{'Publisher':'Ertain','Games':1,'Sales':0.05},"
2007,Falcom Corporation,2,0.07,"{'Publisher':'Falcom Corporation','Games':2,'Sales':0.07},"
2007,Flight-Plan,1,0.08,"{'Publisher':'Flight-Plan','Games':1,'Sales':0.08},"
2007,Focus Home Interactive,1,0.03,"{'Publisher':'Focus Home Interactive','Games':1,'Sales':0.03},"
2007,Funsta,2,0.14,"{'Publisher':'Funsta','Games':2,'Sales':0.14},"
2007,Gakken,2,0.04,"{'Publisher':'Gakken','Games':2,'Sales':0.04},"
2007,Game Factory,9,1.53,"{'Publisher':'Game Factory','Games':9,'Sales':1.53},"
2007,Game Life,1,0.13,"{'Publisher':'Game Life','Games':1,'Sales':0.13},"
2007,Gameloft,1,0.11,"{'Publisher':'Gameloft','Games':1,'Sales':0.11},"
2007,Genki,3,0.09,"{'Publisher':'Genki','Games':3,'Sales':0.09},"
2007,Ghostlight,2,0.17,"{'Publisher':'Ghostlight','Games':2,'Sales':0.17},"
2007,Global A Entertainment,1,0.07,"{'Publisher':'Global A Entertainment','Games':1,'Sales':0.07},"
2007,Grand Prix Games,1,0.06,"{'Publisher':'Grand Prix Games','Games':1,'Sales':0.06},"
2007,Gust,1,0.04,"{'Publisher':'Gust','Games':1,'Sales':0.04},"
2007,Hackberry,4,0.22,"{'Publisher':'Hackberry','Games':4,'Sales':0.22},"
2007,Hudson Entertainment,1,0.06,"{'Publisher':'Hudson Entertainment','Games':1,'Sales':0.06},"
2007,Hudson Soft,3,0.51,"{'Publisher':'Hudson Soft','Games':3,'Sales':0.51},"
2007,Idea Factory,2,0.05,"{'Publisher':'Idea Factory','Games':2,'Sales':0.05},"
2007,IE Institute,1,0.17,"{'Publisher':'IE Institute','Games':1,'Sales':0.17},"
2007,Ignition Entertainment,7,0.79,"{'Publisher':'Ignition Entertainment','Games':7,'Sales':0.79},"
2007,Interchannel-Holon,1,0.01,"{'Publisher':'Interchannel-Holon','Games':1,'Sales':0.01},"
2007,Irem Software Engineering,1,0.05,"{'Publisher':'Irem Software Engineering','Games':1,'Sales':0.05},"
2007,Jaleco,3,0.27,"{'Publisher':'Jaleco','Games':3,'Sales':0.27},"
2007,JoWood Productions,1,0.04,"{'Publisher':'JoWood Productions','Games':1,'Sales':0.04},"
2007,Kadokawa Shoten,3,0.26,"{'Publisher':'Kadokawa Shoten','Games':3,'Sales':0.26},"
2007,Kalypso Media,1,0.01,"{'Publisher':'Kalypso Media','Games':1,'Sales':0.01},"
2007,Kids Station,1,0.03,"{'Publisher':'Kids Station','Games':1,'Sales':0.03},"
2007,Konami Digital Entertainment,61,17.21,"{'Publisher':'Konami Digital Entertainment','Games':61,'Sales':17.21},"
2007,Lexicon Entertainment,1,0.03,"{'Publisher':'Lexicon Entertainment','Games':1,'Sales':0.03},"
2007,Lighthouse Interactive,1,0.02,"{'Publisher':'Lighthouse Interactive','Games':1,'Sales':0.02},"
2007,LucasArts,11,18.7,"{'Publisher':'LucasArts','Games':11,'Sales':18.7},"
2007,Majesco Entertainment,6,0.95,"{'Publisher':'Majesco Entertainment','Games':6,'Sales':0.95},"
2007,Marvelous Interactive,11,0.21,"{'Publisher':'Marvelous Interactive','Games':11,'Sales':0.21},"
2007,Media Works,1,0.02,"{'Publisher':'Media Works','Games':1,'Sales':0.02},"
2007,Mercury Games,2,0.08,"{'Publisher':'Mercury Games','Games':2,'Sales':0.08},"
2007,Metro 3D,2,0.12,"{'Publisher':'Metro 3D','Games':2,'Sales':0.12},"
2007,Microsoft Game Studios,19,26.1,"{'Publisher':'Microsoft Game Studios','Games':19,'Sales':26.1},"
2007,Midas Interactive Entertainment,1,0.06,"{'Publisher':'Midas Interactive Entertainment','Games':1,'Sales':0.06},"
2007,Midway Games,17,8.1,"{'Publisher':'Midway Games','Games':17,'Sales':8.1},"
2007,Mindscape,2,2.24,"{'Publisher':'Mindscape','Games':2,'Sales':2.24},"
2007,Monte Christo Multimedia,1,0.05,"{'Publisher':'Monte Christo Multimedia','Games':1,'Sales':0.05},"
2007,MTO,3,0.11,"{'Publisher':'MTO','Games':3,'Sales':0.11},"
2007,Mumbo Jumbo,2,0.35,"{'Publisher':'Mumbo Jumbo','Games':2,'Sales':0.35},"
2007,N/A,1,1.21,"{'Publisher':'N/A','Games':1,'Sales':1.21},"
2007,Namco Bandai Games,49,7.59,"{'Publisher':'Namco Bandai Games','Games':49,'Sales':7.59},"
2007,Natsume,1,0.13,"{'Publisher':'Natsume','Games':1,'Sales':0.13},"
2007,Neko Entertainment,2,0.06,"{'Publisher':'Neko Entertainment','Games':2,'Sales':0.06},"
2007,Nintendo,42,104.18,"{'Publisher':'Nintendo','Games':42,'Sales':104.18},"
2007,Nippon Ichi Software,6,0.47,"{'Publisher':'Nippon Ichi Software','Games':6,'Sales':0.47},"
2007,Nobilis,2,0.06,"{'Publisher':'Nobilis','Games':2,'Sales':0.06},"
2007,Nordcurrent,1,0.05,"{'Publisher':'Nordcurrent','Games':1,'Sales':0.05},"
2007,O3 Entertainment,1,0.11,"{'Publisher':'O3 Entertainment','Games':1,'Sales':0.11},"
2007,Oxygen Interactive,1,0.14,"{'Publisher':'Oxygen Interactive','Games':1,'Sales':0.14},"
2007,Paon,2,0.14,"{'Publisher':'Paon','Games':2,'Sales':0.14},"
2007,Paradox Interactive,1,0.03,"{'Publisher':'Paradox Interactive','Games':1,'Sales':0.03},"
2007,Phenomedia,2,0.11,"{'Publisher':'Phenomedia','Games':2,'Sales':0.11},"
2007,Phoenix Games,1,0.02,"{'Publisher':'Phoenix Games','Games':1,'Sales':0.02},"
2007,PopCap Games,1,0.04,"{'Publisher':'PopCap Games','Games':1,'Sales':0.04},"
2007,Popcorn Arcade,7,0.25,"{'Publisher':'Popcorn Arcade','Games':7,'Sales':0.25},"
2007,PQube,2,0.15,"{'Publisher':'PQube','Games':2,'Sales':0.15},"
2007,Prototype,5,0.09,"{'Publisher':'Prototype','Games':5,'Sales':0.09},"
2007,RedOctane,1,1.11,"{'Publisher':'RedOctane','Games':1,'Sales':1.11},"
2007,Rising Star Games,19,4.88,"{'Publisher':'Rising Star Games','Games':19,'Sales':4.88},"
2007,Rocket Company,3,0.44,"{'Publisher':'Rocket Company','Games':3,'Sales':0.44},"
2007,RTL,1,1.26,"{'Publisher':'RTL','Games':1,'Sales':1.26},"
2007,Russel,1,1.12,"{'Publisher':'Russel','Games':1,'Sales':1.12},"
2007,Scholastic Inc.,1,0.83,"{'Publisher':'Scholastic Inc.','Games':1,'Sales':0.83},"
2007,Sega,50,23.69,"{'Publisher':'Sega','Games':50,'Sales':23.69},"
2007,Shogakukan,1,0.1,"{'Publisher':'Shogakukan','Games':1,'Sales':0.1},"
2007,SNK Playmore,4,0.17,"{'Publisher':'SNK Playmore','Games':4,'Sales':0.17},"
2007,Sony Computer Entertainment,41,37.54,"{'Publisher':'Sony Computer Entertainment','Games':41,'Sales':37.54},"
2007,SouthPeak Games,4,1.04,"{'Publisher':'SouthPeak Games','Games':4,'Sales':1.04},"
2007,Spike,8,1.92,"{'Publisher':'Spike','Games':8,'Sales':1.92},"
2007,Square Enix,23,16.3,"{'Publisher':'Square Enix','Games':23,'Sales':16.3},"
2007,Starfish,2,0.1,"{'Publisher':'Starfish','Games':2,'Sales':0.1},"
2007,Sting,1,0.11,"{'Publisher':'Sting','Games':1,'Sales':0.11},"
2007,Success,5,0.32,"{'Publisher':'Success','Games':5,'Sales':0.32},"
2007,Sunrise Interactive,1,0.02,"{'Publisher':'Sunrise Interactive','Games':1,'Sales':0.02},"
2007,System 3 Arcade Software,2,0.19,"{'Publisher':'System 3 Arcade Software','Games':2,'Sales':0.19},"
2007,Taito,3,0.08,"{'Publisher':'Taito','Games':3,'Sales':0.08},"
2007,Takara Tomy,8,0.5,"{'Publisher':'Takara Tomy','Games':8,'Sales':0.5},"
2007,Take-Two Interactive,37,19.81,"{'Publisher':'Take-Two Interactive','Games':37,'Sales':19.81},"
2007,TDK Core,1,0.03,"{'Publisher':'TDK Core','Games':1,'Sales':0.03},"
2007,Tecmo Koei,31,5.58,"{'Publisher':'Tecmo Koei','Games':31,'Sales':5.58},"
2007,Telegames,2,0.54,"{'Publisher':'Telegames','Games':2,'Sales':0.54},"
2007,THQ,74,33.29,"{'Publisher':'THQ','Games':74,'Sales':33.29},"
2007,Tommo,3,0.15,"{'Publisher':'Tommo','Games':3,'Sales':0.15},"
2007,Tomy Corporation,1,1.02,"{'Publisher':'Tomy Corporation','Games':1,'Sales':1.02},"
2007,Touchstone,1,0.14,"{'Publisher':'Touchstone','Games':1,'Sales':0.14},"
2007,Ubisoft,88,48.6,"{'Publisher':'Ubisoft','Games':88,'Sales':48.6},"
2007,UFO Interactive,1,0.03,"{'Publisher':'UFO Interactive','Games':1,'Sales':0.03},"
2007,Unknown,3,0.25,"{'Publisher':'Unknown','Games':3,'Sales':0.25},"
2007,Vivendi Games,21,5.33,"{'Publisher':'Vivendi Games','Games':21,'Sales':5.33},"
2007,Warashi,1,0.02,"{'Publisher':'Warashi','Games':1,'Sales':0.02},"
2007,Warner Bros. Interactive Entertainment,5,1.4,"{'Publisher':'Warner Bros. Interactive Entertainment','Games':5,'Sales':1.4},"
2007,White Park Bay Software,1,0.16,"{'Publisher':'White Park Bay Software','Games':1,'Sales':0.16},"
2007,Xplosiv,2,0.22,"{'Publisher':'Xplosiv','Games':2,'Sales':0.22},"
2007,XS Games,1,0.02,"{'Publisher':'XS Games','Games':1,'Sales':0.02},"
2007,Yeti,1,0.01,"{'Publisher':'Yeti','Games':1,'Sales':0.01},"
2007,Yuke's,1,0.02,"{'Publisher':'Yuke's','Games':1,'Sales':0.02},"
2007,Zenrin,1,0.02,"{'Publisher':'Zenrin','Games':1,'Sales':0.02},"
2007,Zoo Digital Publishing,12,1.17,"{'Publisher':'Zoo Digital Publishing','Games':12,'Sales':1.17},"
2007,Zushi Games,1,0.05,"{'Publisher':'Zushi Games','Games':1,'Sales':0.05},"
2008,2D Boy,1,0.04,"{'Publisher':'2D Boy','Games':1,'Sales':0.04},"
2008,505 Games,13,2.77,"{'Publisher':'505 Games','Games':13,'Sales':2.77},"
2008,5pb,5,0.1,"{'Publisher':'5pb','Games':5,'Sales':0.1},"
2008,Acquire,1,0.14,"{'Publisher':'Acquire','Games':1,'Sales':0.14},"
2008,Activision,88,67.41,"{'Publisher':'Activision','Games':88,'Sales':67.41},"
2008,Activision Value,9,1.46,"{'Publisher':'Activision Value','Games':9,'Sales':1.46},"
2008,Aksys Games,1,0.02,"{'Publisher':'Aksys Games','Games':1,'Sales':0.02},"
2008,Alchemist,7,0.3,"{'Publisher':'Alchemist','Games':7,'Sales':0.3},"
2008,AQ Interactive,1,0.22,"{'Publisher':'AQ Interactive','Games':1,'Sales':0.22},"
2008,Aqua Plus,1,0.08,"{'Publisher':'Aqua Plus','Games':1,'Sales':0.08},"
2008,Arc System Works,4,0.26,"{'Publisher':'Arc System Works','Games':4,'Sales':0.26},"
2008,Arika,1,0.02,"{'Publisher':'Arika','Games':1,'Sales':0.02},"
2008,Ascaron Entertainment GmbH,2,0.07,"{'Publisher':'Ascaron Entertainment GmbH','Games':2,'Sales':0.07},"
2008,ASCII Media Works,2,0.06,"{'Publisher':'ASCII Media Works','Games':2,'Sales':0.06},"
2008,Aspyr,2,0.11,"{'Publisher':'Aspyr','Games':2,'Sales':0.11},"
2008,Atari,32,8.69,"{'Publisher':'Atari','Games':32,'Sales':8.69},"
2008,Atlus,5,1.5,"{'Publisher':'Atlus','Games':5,'Sales':1.5},"
2008,Avanquest,2,0.19,"{'Publisher':'Avanquest','Games':2,'Sales':0.19},"
2008,Banpresto,4,0.47,"{'Publisher':'Banpresto','Games':4,'Sales':0.47},"
2008,Benesse,4,0.14,"{'Publisher':'Benesse','Games':4,'Sales':0.14},"
2008,Bethesda Softworks,7,11.39,"{'Publisher':'Bethesda Softworks','Games':7,'Sales':11.39},"
2008,Big Ben Interactive,1,0.02,"{'Publisher':'Big Ben Interactive','Games':1,'Sales':0.02},"
2008,Big Fish Games,1,0.02,"{'Publisher':'Big Fish Games','Games':1,'Sales':0.02},"
2008,Black Bean Games,5,0.59,"{'Publisher':'Black Bean Games','Games':5,'Sales':0.59},"
2008,Blast! Entertainment Ltd,1,0.02,"{'Publisher':'Blast! Entertainment Ltd','Games':1,'Sales':0.02},"
2008,Brash Entertainment,8,1.02,"{'Publisher':'Brash Entertainment','Games':8,'Sales':1.02},"
2008,Broccoli,1,0.03,"{'Publisher':'Broccoli','Games':1,'Sales':0.03},"
2008,Capcom,26,13.32,"{'Publisher':'Capcom','Games':26,'Sales':13.32},"
2008,Cave,1,0.1,"{'Publisher':'Cave','Games':1,'Sales':0.1},"
2008,CDV Software Entertainment,2,0.11,"{'Publisher':'CDV Software Entertainment','Games':2,'Sales':0.11},"
2008,City Interactive,1,0.49,"{'Publisher':'City Interactive','Games':1,'Sales':0.49},"
2008,Codemasters,12,3.45,"{'Publisher':'Codemasters','Games':12,'Sales':3.45},"
2008,Codemasters Online,1,0.02,"{'Publisher':'Codemasters Online','Games':1,'Sales':0.02},"
2008,Commseed,1,0.01,"{'Publisher':'Commseed','Games':1,'Sales':0.01},"
2008,Compile Heart,1,0.2,"{'Publisher':'Compile Heart','Games':1,'Sales':0.2},"
2008,Conspiracy Entertainment,3,0.15,"{'Publisher':'Conspiracy Entertainment','Games':3,'Sales':0.15},"
2008,Crave Entertainment,3,0.53,"{'Publisher':'Crave Entertainment','Games':3,'Sales':0.53},"
2008,Creative Core,2,0.07,"{'Publisher':'Creative Core','Games':2,'Sales':0.07},"
2008,Crimson Cow,1,0.02,"{'Publisher':'Crimson Cow','Games':1,'Sales':0.02},"
2008,Culture Brain,1,0.02,"{'Publisher':'Culture Brain','Games':1,'Sales':0.02},"
2008,CyberFront,1,0.04,"{'Publisher':'CyberFront','Games':1,'Sales':0.04},"
2008,D3Publisher,21,2.03,"{'Publisher':'D3Publisher','Games':21,'Sales':2.03},"
2008,Data Design Interactive,1,0.13,"{'Publisher':'Data Design Interactive','Games':1,'Sales':0.13},"
2008,Deep Silver,13,2.91,"{'Publisher':'Deep Silver','Games':13,'Sales':2.91},"
2008,"Destination Software, Inc",2,0.13,"{'Publisher':'Destination Software, Inc','Games':2,'Sales':0.13},"
2008,Destineer,15,1.54,"{'Publisher':'Destineer','Games':15,'Sales':1.54},"
2008,Disney Interactive Studios,33,22.09,"{'Publisher':'Disney Interactive Studios','Games':33,'Sales':22.09},"
2008,Dorart,1,0.02,"{'Publisher':'Dorart','Games':1,'Sales':0.02},"
2008,DreamCatcher Interactive,2,0.07,"{'Publisher':'DreamCatcher Interactive','Games':2,'Sales':0.07},"
2008,DSI Games,1,0.09,"{'Publisher':'DSI Games','Games':1,'Sales':0.09},"
2008,DTP Entertainment,9,0.89,"{'Publisher':'DTP Entertainment','Games':9,'Sales':0.89},"
2008,Eidos Interactive,25,5.48,"{'Publisher':'Eidos Interactive','Games':25,'Sales':5.48},"
2008,Electronic Arts,120,84.12,"{'Publisher':'Electronic Arts','Games':120,'Sales':84.12},"
2008,Empire Interactive,8,1.26,"{'Publisher':'Empire Interactive','Games':8,'Sales':1.26},"
2008,Enterbrain,2,0.38,"{'Publisher':'Enterbrain','Games':2,'Sales':0.38},"
2008,Falcom Corporation,3,0.11,"{'Publisher':'Falcom Corporation','Games':3,'Sales':0.11},"
2008,Focus Home Interactive,1,0.08,"{'Publisher':'Focus Home Interactive','Games':1,'Sales':0.08},"
2008,fonfun,1,0.02,"{'Publisher':'fonfun','Games':1,'Sales':0.02},"
2008,Game Factory,11,1.53,"{'Publisher':'Game Factory','Games':11,'Sales':1.53},"
2008,Gamebridge,1,0.52,"{'Publisher':'Gamebridge','Games':1,'Sales':0.52},"
2008,Gamecock,4,0.2,"{'Publisher':'Gamecock','Games':4,'Sales':0.2},"
2008,Ghostlight,2,0.11,"{'Publisher':'Ghostlight','Games':2,'Sales':0.11},"
2008,Global A Entertainment,2,0.05,"{'Publisher':'Global A Entertainment','Games':2,'Sales':0.05},"
2008,GN Software,1,0.03,"{'Publisher':'GN Software','Games':1,'Sales':0.03},"
2008,GOA,1,0.02,"{'Publisher':'GOA','Games':1,'Sales':0.02},"
2008,Graffiti,1,0.04,"{'Publisher':'Graffiti','Games':1,'Sales':0.04},"
2008,GSP,3,1.31,"{'Publisher':'GSP','Games':3,'Sales':1.31},"
2008,GungHo,4,0.42,"{'Publisher':'GungHo','Games':4,'Sales':0.42},"
2008,Gust,1,0.2,"{'Publisher':'Gust','Games':1,'Sales':0.2},"
2008,Hackberry,2,0.08,"{'Publisher':'Hackberry','Games':2,'Sales':0.08},"
2008,HMH Interactive,1,0.03,"{'Publisher':'HMH Interactive','Games':1,'Sales':0.03},"
2008,Hudson Entertainment,1,0.01,"{'Publisher':'Hudson Entertainment','Games':1,'Sales':0.01},"
2008,Hudson Soft,8,0.77,"{'Publisher':'Hudson Soft','Games':8,'Sales':0.77},"
2008,Idea Factory,6,0.22,"{'Publisher':'Idea Factory','Games':6,'Sales':0.22},"
2008,IE Institute,1,0.04,"{'Publisher':'IE Institute','Games':1,'Sales':0.04},"
2008,Ignition Entertainment,15,1.48,"{'Publisher':'Ignition Entertainment','Games':15,'Sales':1.48},"
2008,Interchannel,1,0.02,"{'Publisher':'Interchannel','Games':1,'Sales':0.02},"
2008,Irem Software Engineering,3,0.15,"{'Publisher':'Irem Software Engineering','Games':3,'Sales':0.15},"
2008,Ivolgamus,1,0.04,"{'Publisher':'Ivolgamus','Games':1,'Sales':0.04},"
2008,Jaleco,2,0.05,"{'Publisher':'Jaleco','Games':2,'Sales':0.05},"
2008,JoWood Productions,5,0.43,"{'Publisher':'JoWood Productions','Games':5,'Sales':0.43},"
2008,Kadokawa Shoten,6,0.22,"{'Publisher':'Kadokawa Shoten','Games':6,'Sales':0.22},"
2008,Kalypso Media,2,0.05,"{'Publisher':'Kalypso Media','Games':2,'Sales':0.05},"
2008,Koch Media,6,3.01,"{'Publisher':'Koch Media','Games':6,'Sales':3.01},"
2008,Konami Digital Entertainment,64,27.82,"{'Publisher':'Konami Digital Entertainment','Games':64,'Sales':27.82},"
2008,Legacy Interactive,1,0.04,"{'Publisher':'Legacy Interactive','Games':1,'Sales':0.04},"
2008,Lexicon Entertainment,1,0.02,"{'Publisher':'Lexicon Entertainment','Games':1,'Sales':0.02},"
2008,LucasArts,13,15.79,"{'Publisher':'LucasArts','Games':13,'Sales':15.79},"
2008,Majesco Entertainment,12,1.37,"{'Publisher':'Majesco Entertainment','Games':12,'Sales':1.37},"
2008,Mamba Games,1,0.03,"{'Publisher':'Mamba Games','Games':1,'Sales':0.03},"
2008,Marvelous Interactive,13,0.31,"{'Publisher':'Marvelous Interactive','Games':13,'Sales':0.31},"
2008,Mercury Games,2,0.13,"{'Publisher':'Mercury Games','Games':2,'Sales':0.13},"
2008,Metro 3D,2,0.05,"{'Publisher':'Metro 3D','Games':2,'Sales':0.05},"
2008,Microsoft Game Studios,10,15.31,"{'Publisher':'Microsoft Game Studios','Games':10,'Sales':15.31},"
2008,Midas Interactive Entertainment,1,0.03,"{'Publisher':'Midas Interactive Entertainment','Games':1,'Sales':0.03},"
2008,Midway Games,16,9.28,"{'Publisher':'Midway Games','Games':16,'Sales':9.28},"
2008,Milestone,1,0.08,"{'Publisher':'Milestone','Games':1,'Sales':0.08},"
2008,Minato Station,1,0.02,"{'Publisher':'Minato Station','Games':1,'Sales':0.02},"
2008,Mindscape,2,0.34,"{'Publisher':'Mindscape','Games':2,'Sales':0.34},"
2008,Mirai Shounen,1,0.02,"{'Publisher':'Mirai Shounen','Games':1,'Sales':0.02},"
2008,Moss,1,0.12,"{'Publisher':'Moss','Games':1,'Sales':0.12},"
2008,MTO,1,0.01,"{'Publisher':'MTO','Games':1,'Sales':0.01},"
2008,MTV Games,13,5.07,"{'Publisher':'MTV Games','Games':13,'Sales':5.07},"
2008,Mumbo Jumbo,3,0.21,"{'Publisher':'Mumbo Jumbo','Games':3,'Sales':0.21},"
2008,Namco Bandai Games,52,10.9,"{'Publisher':'Namco Bandai Games','Games':52,'Sales':10.9},"
2008,Navarre Corp,1,0.05,"{'Publisher':'Navarre Corp','Games':1,'Sales':0.05},"
2008,Naxat Soft,1,0.01,"{'Publisher':'Naxat Soft','Games':1,'Sales':0.01},"
2008,NEC Interchannel,1,0.04,"{'Publisher':'NEC Interchannel','Games':1,'Sales':0.04},"
2008,Neko Entertainment,2,0.05,"{'Publisher':'Neko Entertainment','Games':2,'Sales':0.05},"
2008,Nintendo,32,91.22,"{'Publisher':'Nintendo','Games':32,'Sales':91.22},"
2008,Nippon Ichi Software,5,0.64,"{'Publisher':'Nippon Ichi Software','Games':5,'Sales':0.64},"
2008,Nobilis,7,1.65,"{'Publisher':'Nobilis','Games':7,'Sales':1.65},"
2008,Nordcurrent,1,0.2,"{'Publisher':'Nordcurrent','Games':1,'Sales':0.2},"
2008,Nordic Games,1,0.27,"{'Publisher':'Nordic Games','Games':1,'Sales':0.27},"
2008,Oxygen Interactive,7,0.67,"{'Publisher':'Oxygen Interactive','Games':7,'Sales':0.67},"
2008,Paon,2,0.07,"{'Publisher':'Paon','Games':2,'Sales':0.07},"
2008,Paradox Interactive,2,0.04,"{'Publisher':'Paradox Interactive','Games':2,'Sales':0.04},"
2008,Phenomedia,1,0.03,"{'Publisher':'Phenomedia','Games':1,'Sales':0.03},"
2008,Pinnacle,4,1.04,"{'Publisher':'Pinnacle','Games':4,'Sales':1.04},"
2008,Playlogic Game Factory,2,0.22,"{'Publisher':'Playlogic Game Factory','Games':2,'Sales':0.22},"
2008,PopCap Games,3,0.31,"{'Publisher':'PopCap Games','Games':3,'Sales':0.31},"
2008,Popcorn Arcade,3,0.24,"{'Publisher':'Popcorn Arcade','Games':3,'Sales':0.24},"
2008,PQube,2,0.14,"{'Publisher':'PQube','Games':2,'Sales':0.14},"
2008,Princess Soft,1,0.02,"{'Publisher':'Princess Soft','Games':1,'Sales':0.02},"
2008,Prototype,3,0.08,"{'Publisher':'Prototype','Games':3,'Sales':0.08},"
2008,Rising Star Games,17,4.42,"{'Publisher':'Rising Star Games','Games':17,'Sales':4.42},"
2008,Rocket Company,1,0.01,"{'Publisher':'Rocket Company','Games':1,'Sales':0.01},"
